Sample_ID,Total_reads,Mitochondrial_reads,Fraction of mitochondrial reads,Total duplicates after removing mitochondrial reads,Fraction of duplicates,Reads after all filtering,Fraction of reads after all filtering,Total_peaks,Reads_in_peaks,FRiP
S01_WT_rep1,"63,351,254","2,720,412",0.04,"27,496,014",0.45,"32,628,340",0.52,"78,435","12,503,472",0.38
S02_WT_rep2,"51,924,022","2,335,422",0.04,"23,961,560",0.48,"25,220,722",0.49,"70,918","8,495,751",0.34
S03_WT_rep3,"54,538,720","1,879,398",0.03,"25,849,558",0.49,"26,386,504",0.48,"76,565","10,391,221",0.39
S04_Cas9_Control_rep1,"87,322,432","4,087,800",0.05,"36,669,672",0.44,"45,841,556",0.52,"92,460","17,897,591",0.39
S05_Cas9_Control_rep2,"57,844,100","3,712,074",0.06,"25,756,934",0.48,"27,863,978",0.48,"75,156","9,686,504",0.35
S06_Cas9_Control_rep3,"62,201,682","3,727,686",0.06,"28,073,510",0.48,"29,895,706",0.48,"82,044","11,245,911",0.38
S07_FOS_KO_rep1,"76,989,020","3,014,414",0.04,"35,119,092",0.47,"38,173,192",0.5,"89,717","14,421,313",0.38
S08_FOS_KO_rep2,"42,543,836","1,820,156",0.04,"19,485,542",0.48,"20,892,096",0.49,"71,211","7,308,321",0.35
S09_FOS_KO_rep3,"44,088,420","2,203,482",0.05,"20,230,608",0.48,"21,292,422",0.48,"73,820","8,100,709",0.38
S10_FOSL1_KO_rep1,"43,548,952","559,106",0.01,"21,230,316",0.49,"21,391,618",0.49,"70,896","6,897,133",0.32
S11_FOSL1_KO_rep2,"45,486,460","652,900",0.01,"22,051,960",0.49,"22,370,218",0.49,"57,640","5,479,587",0.24
S12_FOSL1_KO_rep3,"47,036,462","781,120",0.02,"22,710,458",0.49,"23,152,740",0.49,"77,728","7,654,053",0.33
S13_FOSL2_KO_rep1,"49,929,148","1,731,484",0.03,"23,626,212",0.49,"24,114,256",0.48,"64,095","6,874,144",0.29
S14_FOSL2_KO_rep2,"49,546,774","2,002,592",0.04,"23,316,132",0.49,"23,775,910",0.48,"63,249","6,843,179",0.29
S15_FOSL2_KO_rep3,"51,496,330","1,574,846",0.03,"24,810,240",0.5,"24,647,622",0.48,"67,399","7,882,187",0.32
S16_Cas9_and_ORF_Control_rep1,"47,817,602","1,739,950",0.04,"22,156,688",0.48,"23,529,350",0.49,"68,902","8,824,212",0.38
